Week,Jim,Stanley,Toby,Jan,Andy,Kevin,Angela,Dwight,Michael,Pam
1,106.86,89.00,127.44,83.56,134.38,122.66,108.56,128.42,108.98,135.64
2,106.52,115.76,119.02,97.48,122.52,108.24,83.9,134.0,127.9,93.62
3,98.32,114.42,109.02,99.62,100.3,105.08,97.44,92.42,91.34,144.98
4,112.16,90.52,96.6,68.52,93.32,89.86,133.58,148.12,97.92,122.34
5,90.48,122.10,105.9,91.3,115.08,159.54,113.02,156.58,138.76,169.38
6,124.54,125.32,94.44,139.62,86.88,149.78,136.4,140.2,91.16,74.08
7,98.44,116.6,80.46,119.42,67.64,127.64,106.84,114.86,146.84,98.88
8,93.22,113.06,112.0,113.56,93.2,92.6,78.52,68.4,105.16,97.52
9,85.38,94.86,85.98,123.04,100.34,73.72,67.18,61.98,101.4,106.24
10,91.44,113.34,80.82,105.96,110.64,102.36,132.62,86.64,85.1,98.42
11,91.28,101.86,79.92,140.46,74.4,81.18,114.08,82.74,105.12,151.8
12,157.98,88.3,106.88,76.12,67.92,95.14,70.46,125.78,124.0,99.76
13,98.64,78.5,121.2,127.0,76.06,122.82,83.26,72.32,130.42,124.82
14,107.2,132.02,146.18,138.44,82.32,105.1,60.62,74.54,122.02,90.38
15,84.94,90.1,102.06,84.28,104.3,84.56,99.34,80.42,104.08,72.16
